ID,ADDRESS,LATITUDE,LONGITUDE,geometry
131,Rhodes St & 16th St N,38.892164,-77.079375,"c(-77.0793773079699, 38.892171783851)"
132,Fairfax Village,38.86559,-76.952103,"c(-76.9521052661967, 38.8655977830941)"
133,21st St & Constitution Ave NW,38.892459,-77.046567,"c(-77.0465692974015, 38.8924667851589)"
134,Wilson Blvd & N Edgewood St,38.889,-77.0925,"c(-77.0925023113116, 38.8890077822659)"
135,Columbia Rd & Belmont St NW,38.920669,-77.04368,"c(-77.0436822981597, 38.9206767907881)"
136,Rhode Island & Connecticut Ave NW,38.905996,-77.039802,"c(-77.0398042964231, 38.906003787815)"
137,Thomas Circle,38.9059,-77.0325,"c(-77.032502294039, 38.9059077883363)"
138,Wilson Blvd & N Franklin Rd,38.8904,-77.0889,"c(-77.0889023103643, 38.8904077827781)"
139,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,"c(-77.0930823116812, 38.8881077820644)"
140,Clarendon Metro / Wilson Blvd & N Highland St,38.88786,-77.094875,"c(-77.0948773121642, 38.8878677822576)"
141,18th St & Pennsylvania Ave NW,38.89968,-77.041539,"c(-77.0415412964688, 38.8996877862889)"
142,4th & C St SW,38.886372,-77.017701,"c(-77.0177032884793, 38.8863797845036)"
143,4th & E St SW,38.88412,-77.017445,"c(-77.0174472878186, 38.8841277844699)"
144,3rd & G St SE,38.881185,-77.001828,"c(-77.0018302831558, 38.8811927844592)"
145,7th & R St NW / Shaw Library,38.912719,-77.022155,"c(-77.0221572909953, 38.9127267901724)"
146,9th & Upshur St NW,38.9418,-77.0251,"c(-77.0251022935577, 38.94180779585)"
147,1st & Rhode Island Ave NW,38.915417,-77.012289,"c(-77.0122912879919, 38.9154247908517)"
148,Columbia Rd & Georgia Ave NW,38.928121,-77.023795,"c(-77.0237972927698, 38.9281287931735)"
149,California St & Florida Ave NW,38.917761,-77.04062,"c(-77.040622297302, 38.917768790249)"
150,Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723,"c(-76.9372322636511, 38.8899427882048)"
151,3000 Connecticut Ave NW / National Zoo,38.930282,-77.055599,"c(-77.0556013027983, 38.9302897923157)"
152,Anacostia Ave & Benning Rd NE / River Terrace,38.896544,-76.96012,"c(-76.9601222709041, 38.8965517890274)"
